あきの	あきのたの かりほのいほの とまをあらみ	わがころもでは つゆにぬれつつ	「あきか」の裏札//「あ」で始まる札は16枚
はるす	はるすぎて なつきにけらし しろたへの	ころもほすてふ あまのかぐやま	「はるの」の裏札
あし	あしびきの やまどりのをの しだりをの	ながながしよを ひとりかもねむ	「あ」で始まる札は16枚で、その中で2字決まりなのは「あし」「あけ」「あひ」
たご	たごのうらに うちいでてみれば しろたへの	ふじのたかねに ゆきはふりつつ	「た」で始まる札は6枚で全部2字決まり
おく	おくやまに もみぢふみわけ なくしかの	こゑきくときぞ あきはかなしき	「お」で始まる札は7枚で、その中で2字決まりなのは「おと」「おく」「をぐ」「おも」
かさ	かささぎの わたせるはしに おくしもの	しろきをみれば よぞふけにける	「しろいかさ」と憶える。白い傘
あまの	あまのはら ふりさけみれば かすがなる	みかさのやまに いでしつきかも	「あまつ」の裏札//「あ」で始まる札は16枚
わがい	わがいほは みやこのたつみ しかぞすむ	よをうぢやまと ひとはいふなり	「わがそ」の裏札//「わ」で始まる札は7枚
はなの	はなのいろは うつりにけりな いたづらに	わがみよにふる ながめせしまに	「はなさ」の裏札
これ	これやこの ゆくもかへるも わかれては	しるもしらぬも あふさかのせき	「こ」で始まる札は6枚
わたのはらや	わたのはら やそしまかけて こぎいでぬと	ひとにはつげよ あまのつりぶね	「わたのはらこ」の裏札//「わ」で始まる札は7枚
あまつ	あまつかぜ くものかよひぢ ふきとぢよ	をとめのすがた しばしとどめむ	「あまの」の裏札//「あ」で始まる札は16枚
つく	つくばねの みねよりおつる みなのがは	こひぞつもりて ふちとなりぬる	「つき」の裏札
みち	みちのくの しのぶもぢずり たれゆゑに	みだれそめにし われならなくに	「みちのくみにら」と憶える。ミニラ＝ミニゴジラの略
きみがためは [ha]	きみがため はるののにいでて わかなつむ	わがころもでに ゆきはふりつつ	「きみがためを」の裏札
たち	たちわかれ いなばのやまの みねにおふる	まつとしきかば いまかへりこむ	「た」で始まる札は6枚で全部2字決まり
ちは [ha]	ちはやぶる かみよもきかず たつたがは	からくれなゐに みづくくるとは	「ちはからい」と憶える。「血は辛い」
す	すみのえの きしによるなみ よるさへや	ゆめのかよひぢ ひとめよくらむ	
なにわが (なにはが)	なにはがた みじかきあしの ふしのまも	あはでこのよを すぐしてよとや	「なにはえ」の裏札//「な」で始まる札は8枚
わび	わびぬれば いまはたおなじ なにはなる	みをつくしても あはむとぞおもふ	「わ」で始まる札は7枚で、そのうち2字決まりなのは「わび」のみ
いまこ	いまこむと いひしばかりに ながつきの	ありあけのつきを まちいでつるかな	「いまは」の裏札//「いまこあり」と憶える。いまこ蟻
ふ	ふくからに あきのくさきの しをるれば	むべやまかぜを あらしといふらむ	
つき	つきみれば ちぢにものこそ かなしけれ	わがみひとつの あきにはあらねど	「つく」の裏札
この	このたびは ぬさもとりあへず たむけやま	もみぢのにしき かみのまにまに	「こ」で始まる札は6枚
なにし	なにしおはば あふさかやまの さねかづら	ひとにしられで くるよしもがな	「な」で始まる札は8枚//「なに」で始まる札は他に「なにはえ」と「なにはが」
おぐ (をぐ)	をぐらやま みねのもみぢば こころあらば	いまひとたびの みゆきまたなむ	「お」で始まる札は7枚
みかの	みかのはら わきてながるる いづみがは	いつみきとてか こひしかるらむ	「みかき」の裏札
やまざ	やまざとは ふゆぞさびしさ まさりける	ひとめもくさも かれぬとおもへば	「やまが」の裏札
こころあ	こころあてに をらばやをらむ はつしもの	おきまどはせる しらぎくのはな	「こころに」の裏札//「こ」で始まる札は6枚
ありあ	ありあけの つれなくみえし わかれより	あかつきばかり うきものはなし	「ありま」の裏札//「あ」で始まる札は16枚
あさぼらけあ	あさぼらけ ありあけのつきと みるまでに	よしののさとに ふれるしらゆき	「あさぼらけう」の裏札//「あ」で始まる札は16枚
やまが	やまがはに かぜのかけたる しがらみは	ながれもあへぬ もみぢなりけり	「やまざ」の裏札
ひさ	ひさかたの ひかりのどけき はるのひに	しづごころなく はなのちるらむ	
たれ	たれをかも しるひとにせむ たかさごの	まつもむかしの ともならなくに	「た」で始まる札は6枚で全部2字決まり
ひとは [wa]	ひとはいさ こころもしらず ふるさとは	はなぞむかしの かににほひける	「ひとも」の裏札
なつ	なつのよは まだよひながら あけぬるを	くものいづこに つきやどるらむ	「な」で始まる札は8枚で、そのうち2字決まりなのは「なつ」のみ
しら	しらつゆに かぜのふきしく あきののは	つらぬきとめぬ たまぞちりける	「しの」の裏札//「つら」の「つ」を右に90度回転させて左右反転すると「し」になる
わすら	わすらるる みをばおもはず ちかひてし	ひとのいのちの をしくもあるかな	「わすれ」の裏札//「わ」で始まる札は7枚//「わすらもち」と憶える。忘ら餅。暗記パンの反対
あさじ (あさぢ)	あさぢふの をののしのはら しのぶれど	あまりてなどか ひとのこひしき	「あ」で始まる札は16枚//「あさ」で始まる札は他に「あさぼらけう」と「あさぼらけあ」
しの	しのぶれど いろにいでにけり わがこひは	ものやおもふと ひとのとふまで	「しら」の裏札//「もの」の「も」から横線を除くと「し」になる
こい (こひ)	こひすてふ わがなはまだき たちにけり	ひとしれずこそ おもひそめしか	「こ」で始まる札は6枚
ちぎりき	ちぎりきな かたみにそでを しぼりつつ	すゑのまつやま なみこさじとは	「ちぎりお」の裏札
